layer,group_size,certificate_type,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,certificate_violations,certimask_exact_match_rate,refinement_rate,rho_p50,rho_p90,rho_p99,rho_max,bound_p50,bound_p90,bound_p99,score_error_p50,score_error_p90,score_error_p99,refinement_reduction_vs_baseline
7,64,analytic,0.8658653846153846,0.022596153846153846,0.0031593406593406594,0.019436813186813187,0,1.0,0.21377060439560439,15.983702659606934,86.71138763427734,862.0957641601562,1153585.0,1.1791231632232666,1.396682620048523,1.5490003824234009,0.06975150108337402,0.1756628304719925,0.2857297956943512,0.0
7,32,analytic,0.8658653846153846,0.019539835164835165,0.001717032967032967,0.017822802197802197,0,1.0,0.13962912087912088,18.03765869140625,96.05705261230469,1004.6648559570312,479871.78125,0.6905778646469116,0.8696878552436829,1.019221305847168,0.03777170181274414,0.09509438276290894,0.15616615116596222,0.0741414835164835
7,16,analytic,0.8658653846153846,0.017513736263736264,0.0008241758241758242,0.01668956043956044,0,1.0,0.09883241758241758,22.811893463134766,122.62519836425781,1119.64111328125,209070.34375,0.41144412755966187,0.5687817931175232,0.6579815149307251,0.018146038055419922,0.048509977757930756,0.08952018618583679,0.11493818681318681
7,8,analytic,0.8658653846153846,0.016483516483516484,0.0006524725274725274,0.015831043956043955,0,1.0,0.0806662087912088,28.858810424804688,151.1344451904297,1603.7645263671875,3335106.5,0.30392545461654663,0.41310811042785645,0.4857780933380127,0.010523319244384766,0.02718181535601616,0.04546229541301727,0.13310439560439558
7,4,analytic,0.8658653846153846,0.01569368131868132,0.00030906593406593405,0.015384615384615385,0,1.0,0.07118818681318681,35.617122650146484,194.3306884765625,1968.344482421875,1660212.5,0.24861526489257812,0.3335840106010437,0.3979320526123047,0.006849050521850586,0.017964458093047142,0.03066260740160942,0.14258241758241758
13,64,analytic,0.8658653846153846,0.020913461538461537,0.0023695054945054943,0.018543956043956044,0,1.0,0.2251717032967033,18.612350463867188,99.16190338134766,976.0492553710938,2143533.25,1.0193908214569092,1.2462795972824097,1.3862227201461792,0.053820013999938965,0.1354580819606781,0.21688316762447357,0.0
13,32,analytic,0.8658653846153846,0.0196771978021978,0.001407967032967033,0.01826923076923077,0,1.0,0.15892857142857142,18.902957916259766,97.70149993896484,981.731201171875,751781.4375,0.7124912738800049,0.8450185656547546,0.9356988072395325,0.03633701801300049,0.09203353524208069,0.152084618806839,0.06624313186813188
13,16,analytic,0.8658653846153846,0.019539835164835165,0.0013049450549450549,0.01823489010989011,0,1.0,0.1255837912087912,16.965059280395508,89.25483703613281,928.776611328125,92619.09375,0.546498715877533,0.6479642391204834,0.7218695878982544,0.031098246574401855,0.0787205919623375,0.13081248104572296,0.0995879120879121
13,8,analytic,0.8658653846153846,0.018887362637362636,0.0009271978021978022,0.017960164835164834,0,1.0,0.09996565934065935,19.102550506591797,102.16778564453125,1037.9735107421875,411823.28125,0.40588319301605225,0.488154798746109,0.5580528974533081,0.020367443561553955,0.05196768045425415,0.08735859394073486,0.12520604395604396
13,4,analytic,0.8658653846153846,0.01833791208791209,0.0005494505494505495,0.017788461538461538,0,1.0,0.08296703296703296,22.905742645263672,124.74742889404297,1304.577880859375,496219.3125,0.3133525848388672,0.38626009225845337,0.4489557445049286,0.013088226318359375,0.03565375506877899,0.0674336776137352,0.14220467032967032
14,64,analytic,0.8658653846153846,0.021737637362637362,0.0029876373626373624,0.01875,0,1.0,0.24031593406593407,18.53692626953125,99.50495147705078,824.224853515625,211880.6875,0.9635108709335327,1.1736764907836914,1.29808509349823,0.05045652389526367,0.13083647191524506,0.21497246623039246,0.0
14,32,analytic,0.8658653846153846,0.020879120879120878,0.0019574175824175824,0.018921703296703295,0,1.0,0.16723901098901098,19.737756729125977,104.59767150878906,1040.0330810546875,916874.5,0.6337398290634155,0.7652634382247925,0.8532608151435852,0.03094029426574707,0.07801317423582077,0.12621347606182098,0.0730769230769231
14,16,analytic,0.8658653846153846,0.01981456043956044,0.0013392857142857143,0.018475274725274726,0,1.0,0.1337912087912088,18.92325210571289,104.65897369384766,1071.580322265625,232479.796875,0.4745240807533264,0.5628261566162109,0.6641879081726074,0.024509072303771973,0.060778141021728516,0.09902197122573853,0.10652472527472528
14,8,analytic,0.8658653846153846,0.019471153846153846,0.0008585164835164835,0.018612637362637362,0,1.0,0.10291895604395604,21.739517211914062,113.55453491210938,1153.1654052734375,378808.53125,0.3419490158557892,0.4108572006225586,0.4604187309741974,0.015271186828613281,0.0393097847700119,0.06559918075799942,0.13739697802197803
14,4,analytic,0.8658653846153846,0.019574175824175824,0.0006524725274725274,0.018921703296703295,0,1.0,0.0875,22.86728286743164,122.3805923461914,1250.5408935546875,2534418.75,0.26998400688171387,0.32039111852645874,0.3650217056274414,0.01152503490447998,0.03134350851178169,0.05698172748088837,0.15281593406593408
15,64,analytic,0.8658653846153846,0.021462912087912088,0.003125,0.01833791208791209,0,1.0,0.22249313186813185,16.859872817993164,90.25413513183594,780.2279052734375,121211.3046875,0.9178136587142944,1.3485904932022095,1.754798173904419,0.05656790733337402,0.14654287695884705,0.2552131712436676,0.0
15,32,analytic,0.8658653846153846,0.020467032967032967,0.0014766483516483516,0.018990384615384614,0,1.0,0.15,19.178436279296875,104.31062316894531,1032.7747802734375,284282.5625,0.5747089385986328,0.874592125415802,1.1030638217926025,0.030924677848815918,0.08271999657154083,0.1511741280555725,0.07249313186813186
15,16,analytic,0.8658653846153846,0.019024725274725273,0.0011675824175824176,0.017857142857142856,0,1.0,0.1207760989010989,18.395862579345703,101.12277221679688,1000.865966796875,517831.96875,0.43056124448776245,0.6223829984664917,0.8026902675628662,0.023922204971313477,0.0648399367928505,0.11588780581951141,0.10171703296703295
15,8,analytic,0.8658653846153846,0.017410714285714286,0.0007211538461538462,0.01668956043956044,0,1.0,0.10319368131868131,20.473182678222656,110.13072204589844,1057.9818115234375,191558.640625,0.3383200764656067,0.4856567084789276,0.6381282806396484,0.01710224151611328,0.044976089149713516,0.07503705471754074,0.11929945054945054
15,4,analytic,0.8658653846153846,0.0167239010989011,0.0006181318681318681,0.01610576923076923,0,1.0,0.08708791208791208,22.900039672851562,125.20153045654297,1287.6036376953125,144628.125,0.26471269130706787,0.3711874186992645,0.4854990243911743,0.011860847473144531,0.03180842101573944,0.06081485003232956,0.13540521978021977
16,64,analytic,0.8658653846153846,0.02135989010989011,0.0023695054945054943,0.018990384615384614,0,1.0,0.2130837912087912,20.19049835205078,108.10978698730469,1004.3230590820312,403607.53125,1.415951132774353,2.001009464263916,2.5278775691986084,0.06607604026794434,0.185812845826149,0.3363766074180603,0.0
16,32,analytic,0.8658653846153846,0.018509615384615385,0.0015796703296703297,0.016929945054945054,0,1.0,0.15336538461538463,19.38990592956543,102.76114654541016,1106.715576171875,262692.46875,0.9632226228713989,1.3262979984283447,1.706437110900879,0.04740738868713379,0.12750911712646484,0.2244419902563095,0.059718406593406576
16,16,analytic,0.8658653846153846,0.017822802197802197,0.0011675824175824176,0.01665521978021978,0,1.0,0.12448489010989011,17.817405700683594,93.91641998291016,937.1714477539062,1286600.0,0.74774169921875,1.0283821821212769,1.31690514087677,0.040233612060546875,0.1081535816192627,0.19573044776916504,0.08859890109890109
16,8,analytic,0.8658653846153846,0.018166208791208793,0.001098901098901099,0.01706730769230769,0,1.0,0.10116758241758242,18.64112091064453,97.28177642822266,905.9088745117188,688042.375,0.5622486472129822,0.7948299646377563,1.03029203414917,0.028579235076904297,0.08236201107501984,0.15720921754837036,0.11191620879120878
16,4,analytic,0.8658653846153846,0.016346153846153847,0.0007898351648351648,0.015556318681318682,0,1.0,0.08598901098901099,19.62808609008789,104.41854858398438,1062.6099853515625,342263.4375,0.44338077306747437,0.6218559741973877,0.7993555665016174,0.021561145782470703,0.05917338654398918,0.10698781162500381,0.1270947802197802
21,64,analytic,0.8658653846153846,0.021016483516483518,0.003331043956043956,0.01768543956043956,0,1.0,0.21414835164835164,18.865236282348633,102.54524993896484,995.2996215820312,869303.4375,0.6625350117683411,0.8886955976486206,1.020508885383606,0.034519195556640625,0.08653783798217773,0.14085108041763306,0.0
21,32,analytic,0.8658653846153846,0.01933379120879121,0.0018887362637362637,0.017445054945054946,0,1.0,0.18028846153846154,20.38288116455078,110.6806869506836,951.6112060546875,1388576.875,0.519882321357727,0.7156223654747009,0.908211886882782,0.025237083435058594,0.06591224670410156,0.11091923713684082,0.0338598901098901
21,16,analytic,0.8658653846153846,0.018440934065934066,0.0019230769230769232,0.016517857142857143,0,1.0,0.15298763736263737,17.74549102783203,96.0630111694336,997.9592895507812,261300.8125,0.42104372382164,0.5630435943603516,0.720495879650116,0.023313045501708984,0.06110681965947151,0.10354894399642944,0.06116071428571426
21,8,analytic,0.8658653846153846,0.0167239010989011,0.0012362637362637362,0.015487637362637363,0,1.0,0.11967719780219781,19.845794677734375,106.90502166748047,1114.713134765625,279548.25,0.30988192558288574,0.3949194550514221,0.4858793318271637,0.015264630317687988,0.039264485239982605,0.06568541377782822,0.09447115384615383
21,4,analytic,0.8658653846153846,0.018200549450549452,0.0009615384615384616,0.01723901098901099,0,1.0,0.10298763736263736,19.87638282775879,107.14942932128906,1131.447509765625,1885291.0,0.2497600018978119,0.32294005155563354,0.3983311653137207,0.012290358543395996,0.03235306590795517,0.05641623213887215,0.11116071428571428
