layer,block_size,target_sparsity,mask_type,sample_pattern,aggregation,local_blocks,hybrid_weights,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2
12,16,0.6,adaptive_hybrid_m0.95,both_diagonals,logsumexp,2,L0.45_A0.45_R0.10,1.0,0.4185606060606061,0.5814393939393939,0.9070318341255188,0.9656906127929688,0.9997451901435852,0.09296820312738419,0.13534951210021973,0.30565690994262695,0.9865787625312805,0.9757463932037354,0.18593640625476837,2.117910146713257,0.71484375,False,False,-0.010426640510559082,0.014371402561664581
23,16,0.4,dense,none,none,0,none,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,4.6399821762577176e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,False,False,-0.0948973298072815,-0.09839622676372528
23,16,0.4,random,none,none,0,none,0.0,0.40354437229437234,0.5964556277056277,0.577035129070282,0.6027870774269104,0.9513951539993286,0.42296478152275085,0.4226633608341217,0.9245465397834778,0.8564162850379944,0.5292503833770752,0.8258403539657593,10.138833045959473,0.7011173793247768,False,False,0.3280675411224365,0.3242671340703964
23,16,0.4,mean_pooled_score,none,none,0,none,0.0,0.43560606060606055,0.5643939393939394,0.7727328538894653,0.8510845899581909,0.9877095222473145,0.22726716101169586,0.25229233503341675,0.6829541921615601,0.9283905625343323,0.8319482803344727,0.4232843220233917,5.322968482971191,0.7210170200892857,False,False,0.13236981630325317,0.15389610826969147
23,16,0.4,oracle_block_mass,none,none,0,none,0.0,0.37310606060606055,0.6268939393939394,0.9051026701927185,0.9175164699554443,0.9999945759773254,0.09489727765321732,0.09839622676372528,0.20041368901729584,0.9916917085647583,0.9839449524879456,0.18979455530643463,2.055068254470825,0.686370849609375,False,False,0.0948973298072815,0.09839622676372528
23,16,0.4,landmark_only,none,none,0,none,0.0,0.37310606060606055,0.6268939393939394,0.8389159440994263,0.8669750094413757,0.9999893307685852,0.16108404099941254,0.18008002638816833,0.4131532311439514,0.9667494893074036,0.9322370290756226,0.3221680521965027,3.6700313091278076,0.6894771030970982,False,False,0.06618672609329224,0.08168379962444305
23,16,0.4,antidiagonal_only,anti_diagonal,topk_mean,0,none,0.0,0.37310606060606055,0.6268939393939394,0.868559718132019,0.8944858312606812,0.9999893307685852,0.13144031167030334,0.14165379106998444,0.3052622079849243,0.9790884852409363,0.964692234992981,0.2628806233406067,2.9405765533447266,0.6887250627790178,False,False,0.03654295206069946,0.043257564306259155
23,16,0.4,antidiagonal_only,anti_diagonal,logsumexp,0,none,0.0,0.37310606060606055,0.6268939393939394,0.8616618514060974,0.8873155117034912,0.9999886155128479,0.13833819329738617,0.1534423679113388,0.3326146602630615,0.9748984575271606,0.9560686349868774,0.27667638659477234,3.090975284576416,0.6892155238560268,False,False,0.043440818786621094,0.055046141147613525
23,16,0.4,antidiagonal_only,both_diagonals,topk_mean,0,none,0.0,0.37310606060606055,0.6268939393939394,0.87440425157547,0.8955652117729187,0.9999919533729553,0.12559573352336884,0.13045917451381683,0.27683237195014954,0.9857270121574402,0.9721218943595886,0.25119146704673767,2.7920114994049072,0.6903926304408482,False,False,0.030698418617248535,0.03206294775009155
23,16,0.4,antidiagonal_only,both_diagonals,logsumexp,0,none,0.0,0.37310606060606055,0.6268939393939394,0.8719505667686462,0.8943521976470947,0.9999923706054688,0.12804949283599854,0.1352071464061737,0.2936227321624756,0.9839910864830017,0.9697496294975281,0.25609898567199707,2.8481216430664062,0.6903599330357143,False,False,0.033152103424072266,0.036810919642448425
23,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.8339324593544006,0.8658294677734375,0.9999904036521912,0.16606755554676056,0.189271941781044,0.4415428340435028,0.9628861546516418,0.9266196489334106,0.3321351110935211,3.787085771560669,0.69140625,False,False,0.07117021083831787,0.09087571501731873
23,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.8377631902694702,0.8683132529258728,0.9999908804893494,0.16223682463169098,0.18361809849739075,0.42341357469558716,0.9649195075035095,0.9330552816390991,0.32447364926338196,3.687751293182373,0.69140625,False,False,0.06733947992324829,0.08522187173366547
23,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.8389654159545898,0.869121789932251,0.9999902844429016,0.161034494638443,0.17941050231456757,0.40681159496307373,0.9674144387245178,0.9399026036262512,0.3220690190792084,3.6579396724700928,0.69140625,False,False,0.06613725423812866,0.08101427555084229
23,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.8394244909286499,0.8678076863288879,0.999991238117218,0.1605755090713501,0.17983457446098328,0.40681159496307373,0.9664314389228821,0.9390462636947632,0.3211510181427002,3.6449732780456543,0.69140625,False,False,0.0656781792640686,0.081438347697258
23,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8312310576438904,0.863436222076416,0.9999904036521912,0.168768972158432,0.19338467717170715,0.4501713216304779,0.9615193009376526,0.9233899712562561,0.337537944316864,3.8536927700042725,0.69140625,False,False,0.07387161254882812,0.09498845040798187
23,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8339548110961914,0.8646016120910645,0.9999904036521912,0.16604521870613098,0.19044549763202667,0.4453590214252472,0.9624194502830505,0.9255980253219604,0.33209043741226196,3.7822344303131104,0.69140625,False,False,0.0711478590965271,0.09204927086830139
23,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8364433646202087,0.8667715787887573,0.999991238117218,0.16355669498443604,0.18317262828350067,0.41607171297073364,0.966191828250885,0.9351618885993958,0.32711338996887207,3.7199530601501465,0.69140625,False,False,0.06865930557250977,0.08477640151977539
23,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8366109132766724,0.8651686906814575,0.9999905824661255,0.16338913142681122,0.18511930108070374,0.4254032373428345,0.9645500779151917,0.9317715764045715,0.32677826285362244,3.7139205932617188,0.69140625,False,False,0.06849175691604614,0.08672307431697845
23,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.8414159417152405,0.8721565008163452,0.9999908804893494,0.15858402848243713,0.18141940236091614,0.41683700680732727,0.9643647074699402,0.9356949329376221,0.31716805696487427,3.605957508087158,0.69140625,False,False,0.06368672847747803,0.08302317559719086
23,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.8463443517684937,0.8743581771850586,0.9999907612800598,0.15365564823150635,0.17397333681583405,0.3909824788570404,0.9674659371376038,0.9417179226875305,0.3073113262653351,3.473601818084717,0.69140625,False,False,0.058758318424224854,0.07557711005210876
23,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.8490232825279236,0.8769392967224121,0.9999905824661255,0.15097670257091522,0.16637420654296875,0.36840298771858215,0.9719032049179077,0.9504166841506958,0.30195340514183044,3.4100186824798584,0.69140625,False,False,0.05607938766479492,0.06797797977924347
23,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.8494071364402771,0.8772696256637573,0.9999908804893494,0.1505928933620453,0.16882790625095367,0.381172239780426,0.9696966409683228,0.946548581123352,0.3011857867240906,3.3970391750335693,0.69140625,False,False,0.055695533752441406,0.0704316794872284
23,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8397355675697327,0.8701075315475464,0.9999908804893494,0.1602645069360733,0.18430908024311066,0.4238506555557251,0.9636058211326599,0.933332085609436,0.3205290138721466,3.6467769145965576,0.69140625,False,False,0.06536710262298584,0.08591285347938538
23,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8435834646224976,0.8731931447982788,0.9999907612800598,0.15641653537750244,0.17803505063056946,0.40599384903907776,0.9660050272941589,0.9379976391792297,0.3128330707550049,3.5418357849121094,0.69140625,False,False,0.06151920557022095,0.07963882386684418
23,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8474429249763489,0.8749374151229858,0.9999905228614807,0.1525571346282959,0.16837453842163086,0.37262266874313354,0.9713658094406128,0.9493822455406189,0.3051142692565918,3.4477908611297607,0.69140625,False,False,0.05765974521636963,0.06997831165790558
23,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8481290936470032,0.8756459951400757,0.9999909400939941,0.15187084674835205,0.17019735276699066,0.381879597902298,0.9694857001304626,0.9454967379570007,0.3037417232990265,3.4276950359344482,0.69140625,False,False,0.05697357654571533,0.07180112600326538
23,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.8527830839157104,0.8795334100723267,0.999991774559021,0.1472170203924179,0.1624176949262619,0.35233721137046814,0.9713336825370789,0.9544751644134521,0.2944340109825134,3.3230831623077393,0.69140625,False,False,0.05231958627700806,0.06402146816253662
23,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.8519881367683411,0.8796905279159546,0.9999890327453613,0.14801187813282013,0.1657235473394394,0.3683156967163086,0.9703582525253296,0.9495017528533936,0.29602375626564026,3.3323569297790527,0.69140625,False,False,0.05311453342437744,0.06732732057571411
23,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.857518196105957,0.8815202713012695,0.9999915361404419,0.14248177409172058,0.15436124801635742,0.3316178023815155,0.9761614203453064,0.9585119485855103,0.28496354818344116,3.2012710571289062,0.69140625,False,False,0.047584474086761475,0.05596502125263214
23,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.8565933108329773,0.8836808204650879,0.999991774559021,0.14340662956237793,0.16019690036773682,0.35340550541877747,0.972614586353302,0.9506810307502747,0.28681325912475586,3.2187094688415527,0.69140625,False,False,0.04850935935974121,0.061800673604011536
23,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.30_A0.70_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8503869771957397,0.8780444860458374,0.9999921321868896,0.14961302280426025,0.16610805690288544,0.36425721645355225,0.9700520634651184,0.9511303901672363,0.2992260456085205,3.3820831775665283,0.69140625,False,False,0.05471569299697876,0.06771183013916016
23,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.30_A0.70_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8496081233024597,0.8772022128105164,0.9999890327453613,0.15039180219173431,0.16987915337085724,0.3814219534397125,0.9687932729721069,0.9442352056503296,0.30078360438346863,3.390488386154175,0.69140625,False,False,0.05549454689025879,0.07148292660713196
23,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.30_A0.70_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8544508218765259,0.879729151725769,0.9999911189079285,0.14554913341999054,0.15948684513568878,0.34324029088020325,0.9741615056991577,0.9560012221336365,0.29109829664230347,3.275723695755005,0.69140625,False,False,0.05065184831619263,0.0610906183719635
23,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.30_A0.70_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.853886067867279,0.8811743259429932,0.999991774559021,0.14611396193504333,0.16404640674591064,0.3683156967163086,0.9713855385780334,0.9477875232696533,0.29222795367240906,3.2831828594207764,0.69140625,False,False,0.05121660232543945,0.06565017998218536
23,16,0.4,adaptive_hybrid_m0.90,anti_diagonal,topk_mean,2,L0.45_A0.45_R0.10,0.9598214285714286,0.4251893939393939,0.5748106060606061,0.794715404510498,0.8376275300979614,0.9999871850013733,0.20528459548950195,0.23539112508296967,0.5886967778205872,0.9494510293006897,0.8648710250854492,0.4105691909790039,4.69750452041626,0.71826171875,False,False,0.11038726568222046,0.13699489831924438
23,16,0.4,adaptive_hybrid_m0.90,anti_diagonal,logsumexp,2,L0.45_A0.45_R0.10,0.9620535714285714,0.4251893939393939,0.5748106060606061,0.7996519804000854,0.8400789499282837,0.9999873638153076,0.20034804940223694,0.22513101994991302,0.552687406539917,0.9537126421928406,0.8803297877311707,0.4006960988044739,4.565003395080566,0.71826171875,False,False,0.10545068979263306,0.12673479318618774
23,16,0.4,adaptive_hybrid_m0.90,both_diagonals,topk_mean,2,L0.45_A0.45_R0.10,0.9642857142857143,0.4251893939393939,0.5748106060606061,0.8004305958747864,0.8434327244758606,0.9999873042106628,0.1995694786310196,0.223701611161232,0.5557507872581482,0.9549506902694702,0.8803297877311707,0.3991389870643616,4.549341678619385,0.71826171875,False,False,0.10467207431793213,0.1253053843975067
23,16,0.4,adaptive_hybrid_m0.90,both_diagonals,logsumexp,2,L0.45_A0.45_R0.10,0.9642857142857143,0.4247835497835498,0.5752164502164502,0.8037773966789246,0.8463186025619507,0.9999882578849792,0.19622257351875305,0.2199905663728714,0.5480297803878784,0.956389844417572,0.8854033946990967,0.39244508743286133,4.4636616706848145,0.7180524553571428,False,False,0.10132527351379395,0.12159433960914612
23,16,0.4,adaptive_hybrid_m0.95,anti_diagonal,topk_mean,2,L0.45_A0.45_R0.10,0.9933035714285714,0.4185606060606061,0.5814393939393939,0.797042727470398,0.8398158550262451,0.9999871850013733,0.20295734703540802,0.2333502471446991,0.5883681774139404,0.949800431728363,0.8654634952545166,0.40591469407081604,4.644896507263184,0.71484375,False,False,0.10805994272232056,0.13495402038097382
23,16,0.4,adaptive_hybrid_m0.95,anti_diagonal,logsumexp,2,L0.45_A0.45_R0.10,0.9933035714285714,0.4188311688311688,0.5811688311688312,0.8017825484275818,0.843238115310669,0.9999873638153076,0.1982174813747406,0.22304536402225494,0.5501104593276978,0.954260528087616,0.8819093704223633,0.3964349627494812,4.517212390899658,0.7149832589285714,False,False,0.10332012176513672,0.12464913725852966
23,16,0.4,adaptive_hybrid_m0.95,both_diagonals,topk_mean,2,L0.45_A0.45_R0.10,0.9977678571428571,0.4186958874458875,0.5813041125541125,0.802387535572052,0.8461368083953857,0.9999873042106628,0.1976124495267868,0.22186113893985748,0.5534084439277649,0.9552026391029358,0.8805064558982849,0.3952249586582184,4.505970001220703,0.7149135044642857,False,False,0.1027151346206665,0.1234649121761322
23,16,0.4,adaptive_hybrid_m0.95,both_diagonals,logsumexp,2,L0.45_A0.45_R0.10,0.9977678571428571,0.4186958874458875,0.5813041125541125,0.805802047252655,0.8485069274902344,0.9999882578849792,0.19419798254966736,0.21791216731071472,0.545600175857544,0.9568363428115845,0.8857423067092896,0.3883959650993347,4.418067932128906,0.7149135044642857,False,False,0.09930062294006348,0.11951594054698944
23,16,0.5,dense,none,none,0,none,0.0,0.0,1.0,1.0,1.0,1.0000001192092896,4.6399821762577176e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.4990234375,False,False,-0.15558815002441406,-0.15822871029376984
23,16,0.5,random,none,none,0,none,0.0,0.5047348484848485,0.4952651515151515,0.47879722714424133,0.48528313636779785,0.874415934085846,0.5212028622627258,0.5124712586402893,1.0,0.8087906837463379,0.39859169721603394,1.0089234113693237,12.530410766601562,0.7518877301897322,False,False,0.3656146228313446,0.35424254834651947
23,16,0.5,mean_pooled_score,none,none,0,none,0.0,0.5454545454545454,0.45454545454545453,0.6878424882888794,0.7659221887588501,0.9761026501655579,0.3121574819087982,0.3518770635128021,1.0,0.8780520558357239,0.6096563339233398,0.5618149638175964,7.3368024826049805,0.7758265904017857,False,False,0.15656936168670654,0.1936483532190323
23,16,0.5,oracle_block_mass,none,none,0,none,0.0,0.48484848484848486,0.5151515151515151,0.8444118499755859,0.860014796257019,0.9991868138313293,0.15558815002441406,0.15822871029376984,0.3283238112926483,0.9826759696006775,0.9558383226394653,0.3111763000488281,3.4278666973114014,0.7416011265345982,False,False,0.15558815002441406,0.15822871029376984
23,16,0.5,landmark_only,none,none,0,none,0.0,0.48484848484848486,0.5151515151515151,0.7478421330451965,0.7722487449645996,0.9981992244720459,0.25215792655944824,0.2900157868862152,0.6433277726173401,0.9365378618240356,0.8360273838043213,0.5043158531188965,5.799049377441406,0.7456229073660714,False,False,0.0965697169303894,0.13178707659244537
23,16,0.5,antidiagonal_only,anti_diagonal,topk_mean,0,none,0.0,0.48484848484848486,0.5151515151515151,0.787144660949707,0.8181301951408386,0.99875408411026,0.2128552943468094,0.23175668716430664,0.5012460947036743,0.9574189186096191,0.9055426716804504,0.4257105886936188,4.828547954559326,0.7449362618582589,False,False,0.057267189025878906,0.0735279768705368
23,16,0.5,antidiagonal_only,anti_diagonal,logsumexp,0,none,0.0,0.48484848484848486,0.5151515151515151,0.778419554233551,0.8036981821060181,0.9988132119178772,0.22158049046993256,0.24184249341487885,0.5272705554962158,0.9533907175064087,0.8915085792541504,0.4431609809398651,5.017590522766113,0.7454921177455357,False,False,0.06599229574203491,0.08361378312110901
23,16,0.5,antidiagonal_only,both_diagonals,topk_mean,0,none,0.0,0.48484848484848486,0.5151515151515151,0.7980386018753052,0.824866771697998,0.9988916516304016,0.20196130871772766,0.21360094845294952,0.44214576482772827,0.9675536751747131,0.9295896887779236,0.4039226174354553,4.552242755889893,0.7469961983816964,False,False,0.04637324810028076,0.05537223815917969
23,16,0.5,antidiagonal_only,both_diagonals,logsumexp,0,none,0.0,0.48484848484848486,0.5151515151515151,0.7969246506690979,0.8231407403945923,0.9989034533500671,0.2030753195285797,0.21661092340946198,0.45193198323249817,0.9666666388511658,0.9278104901313782,0.4061506390571594,4.572292804718018,0.7471923828125,False,False,0.04748719930648804,0.05838221311569214
23,16,0.5,hybrid,anti_diagonal,topk_mean,2,L0.70_A0.30,0.125,0.4829545454545454,0.5170454545454546,0.7530852556228638,0.7793320417404175,0.9999836087226868,0.2469147890806198,0.28403428196907043,0.6656399369239807,0.9362096190452576,0.8298435211181641,0.4938296377658844,5.654574871063232,0.748046875,False,False,0.09132659435272217,0.1258055716753006
23,16,0.5,hybrid,anti_diagonal,logsumexp,2,L0.70_A0.30,0.125,0.4829545454545454,0.5170454545454546,0.7566865682601929,0.7836235761642456,0.9999831318855286,0.2433134764432907,0.2785676121711731,0.66282719373703,0.9376675486564636,0.833893358707428,0.4866269528865814,5.563174724578857,0.748046875,False,False,0.08772528171539307,0.12033890187740326
23,16,0.5,hybrid,both_diagonals,topk_mean,2,L0.70_A0.30,0.125,0.4829545454545454,0.5170454545454546,0.7576600313186646,0.784500241279602,0.999983012676239,0.24233998358249664,0.27641692757606506,0.6527110934257507,0.9397190809249878,0.8406149744987488,0.4846799671649933,5.537755489349365,0.748046875,False,False,0.08675181865692139,0.11818821728229523
23,16,0.5,hybrid,both_diagonals,logsumexp,2,L0.70_A0.30,0.125,0.4829545454545454,0.5170454545454546,0.7570751905441284,0.7819955348968506,0.999983012676239,0.24292483925819397,0.27813225984573364,0.661294162273407,0.938457190990448,0.8368228673934937,0.48584967851638794,5.552199363708496,0.748046875,False,False,0.08733665943145752,0.1199035495519638
23,16,0.5,hybrid,anti_diagonal,topk_mean,2,L0.70_A0.30_R0.10,0.125,0.4829545454545454,0.5170454545454546,0.7501642107963562,0.7743124961853027,0.9999836087226868,0.2498358190059662,0.2900165915489197,0.6812654733657837,0.933862566947937,0.8202594518661499,0.49967160820961,5.728340148925781,0.748046875,False,False,0.09424763917922974,0.13178788125514984
23,16,0.5,hybrid,anti_diagonal,logsumexp,2,L0.70_A0.30_R0.10,0.125,0.4829545454545454,0.5170454545454546,0.7539139986038208,0.7812137603759766,0.9999831318855286,0.2460860311985016,0.28187698125839233,0.6688963174819946,0.9359636306762695,0.8264326453208923,0.4921720623970032,5.631347179412842,0.748046875,False,False,0.09049785137176514,0.1236482709646225
23,16,0.5,hybrid,both_diagonals,topk_mean,2,L0.70_A0.30_R0.10,0.125,0.4829545454545454,0.5170454545454546,0.7537606358528137,0.7797669172286987,0.999983012676239,0.2462393194437027,0.2828339636325836,0.6653611063957214,0.9370885491371155,0.8296567797660828,0.4924786388874054,5.6350250244140625,0.748046875,False,False,0.09065121412277222,0.12460525333881378
23,16,0.5,hybrid,both_diagonals,logsumexp,2,L0.70_A0.30_R0.10,0.125,0.4829545454545454,0.5170454545454546,0.7547757029533386,0.7791851758956909,0.9999829530715942,0.2452242225408554,0.28182452917099,0.6650777459144592,0.9372575879096985,0.8313296437263489,0.4904484450817108,5.608471870422363,0.748046875,False,False,0.08963614702224731,0.12359581887722015
23,16,0.5,hybrid,anti_diagonal,topk_mean,2,L0.50_A0.50,0.125,0.4829545454545454,0.5170454545454546,0.7660013437271118,0.7935420870780945,0.9999831318855286,0.23399868607521057,0.26703372597694397,0.635075569152832,0.9420527219772339,0.8516306281089783,0.4679974615573883,5.340427875518799,0.748046875,False,False,0.07841050624847412,0.10880501568317413
23,16,0.5,hybrid,anti_diagonal,logsumexp,2,L0.50_A0.50,0.125,0.4829545454545454,0.5170454545454546,0.7724534273147583,0.798490047454834,0.9999847412109375,0.2275465577840805,0.2525741159915924,0.5791327357292175,0.9482428431510925,0.8680627942085266,0.455093115568161,5.167533874511719,0.748046875,False,False,0.07195842266082764,0.09434540569782257
23,16,0.5,hybrid,both_diagonals,topk_mean,2,L0.50_A0.50,0.125,0.4829545454545454,0.5170454545454546,0.7726714015007019,0.8012012243270874,0.9999824166297913,0.22732864320278168,0.25398507714271545,0.5974286198616028,0.9482235312461853,0.8660467863082886,0.45465728640556335,5.169600963592529,0.748046875,False,False,0.07174044847488403,0.09575636684894562
